FIPSCode,LocationType,Location,Race_Ethnicity,TimeFrame,DataFormat,Data
06,State,California,All Children,2011,Percent,22.8
06,State,California,All Children,2013,Percent,23.5
06,State,California,All Children,2015,Percent,21.2
06,State,California,All Children,2017,Percent,18.1
06081,County,San Mateo County,All Children,2011,Percent,9.5
06081,County,San Mateo County,All Children,2013,Percent,9.4
06001,County,Alameda County,All Children,2011,Percent,16.8
06001,County,Alameda County,All Children,2013,Percent,15.2
06001,County,Alameda County,All Children,2015,Percent,13.6
06081,County,San Mateo County,All Children,2015,Percent,10.3
06081,County,San Mateo County,All Children,2017,Percent,6.9
06085,County,Santa Clara County,All Children,2011,Percent,12.4
06085,County,Santa Clara County,All Children,2013,Percent,13.2
06085,County,Santa Clara County,All Children,2015,Percent,8.4
06085,County,Santa Clara County,All Children,2017,Percent,8.0
06001,County,Alameda County,All Children,2017,Percent,10.1
06013,County,Contra Costa County,All Children,2011,Percent,15.0
06013,County,Contra Costa County,All Children,2013,Percent,13.5
06013,County,Contra Costa County,All Children,2015,Percent,13.2
06013,County,Contra Costa County,All Children,2017,Percent,11.9
06041,County,Marin County,All Children,2011,Percent,10.6
06041,County,Marin County,All Children,2013,Percent,9.9
06041,County,Marin County,All Children,2015,Percent,7.4
06041,County,Marin County,All Children,2017,Percent,10.2
06075,County,San Francisco County,All Children,2011,Percent,14.6
06075,County,San Francisco County,All Children,2013,Percent,12.0
06075,County,San Francisco County,All Children,2015,Percent,11.1
06075,County,San Francisco County,All Children,2017,Percent,11.4
06083,County,Santa Barbara County,All Children,2011,Percent,20.2
06083,County,Santa Barbara County,All Children,2013,Percent,20.6
06083,County,Santa Barbara County,All Children,2015,Percent,21.0
06083,County,Santa Barbara County,All Children,2017,Percent,18.8
06007,County,Butte County,All Children,2011,Percent,S
06007,County,Butte County,All Children,2013,Percent,22.3
06007,County,Butte County,All Children,2015,Percent,S
06007,County,Butte County,All Children,2017,Percent,S
06023,County,Humboldt County,All Children,2011,Percent,S
06023,County,Humboldt County,All Children,2013,Percent,S
06023,County,Humboldt County,All Children,2015,Percent,S
06023,County,Humboldt County,All Children,2017,Percent,S
06033,County,Lake County,All Children,2011,Percent,S
06033,County,Lake County,All Children,2013,Percent,S
06033,County,Lake County,All Children,2015,Percent,S
06033,County,Lake County,All Children,2017,Percent,S
06045,County,Mendocino County,All Children,2011,Percent,S
06045,County,Mendocino County,All Children,2013,Percent,S
06045,County,Mendocino County,All Children,2015,Percent,S
06045,County,Mendocino County,All Children,2017,Percent,S
06053,County,Monterey County,All Children,2011,Percent,24.5
06053,County,Monterey County,All Children,2013,Percent,25.3
06053,County,Monterey County,All Children,2015,Percent,23.1
06053,County,Monterey County,All Children,2017,Percent,15.9
06057,County,Nevada County,All Children,2011,Percent,S
06057,County,Nevada County,All Children,2013,Percent,S
06057,County,Nevada County,All Children,2015,Percent,S
06057,County,Nevada County,All Children,2017,Percent,S
06089,County,Shasta County,All Children,2011,Percent,S
06089,County,Shasta County,All Children,2013,Percent,S
06089,County,Shasta County,All Children,2015,Percent,S
06089,County,Shasta County,All Children,2017,Percent,S
06097,County,Sonoma County,All Children,2011,Percent,16.3
06097,County,Sonoma County,All Children,2013,Percent,16.8
06097,County,Sonoma County,All Children,2015,Percent,14.6
06115,County,Yuba County,All Children,2011,Percent,S
06115,County,Yuba County,All Children,2013,Percent,S
06115,County,Yuba County,All Children,2015,Percent,S
06115,County,Yuba County,All Children,2017,Percent,S
06017,County,El Dorado County,All Children,2011,Percent,S
06017,County,El Dorado County,All Children,2013,Percent,S
06017,County,El Dorado County,All Children,2015,Percent,11.8
06017,County,El Dorado County,All Children,2017,Percent,9.1
06019,County,Fresno County,All Children,2011,Percent,35.8
06019,County,Fresno County,All Children,2013,Percent,42.8
06019,County,Fresno County,All Children,2015,Percent,36.9
06019,County,Fresno County,All Children,2017,Percent,28.5
06029,County,Kern County,All Children,2011,Percent,35.3
06029,County,Kern County,All Children,2013,Percent,30.9
06029,County,Kern County,All Children,2015,Percent,31.9
06029,County,Kern County,All Children,2017,Percent,29.8
06031,County,Kings County,All Children,2011,Percent,S
06031,County,Kings County,All Children,2013,Percent,S
06031,County,Kings County,All Children,2015,Percent,S
06031,County,Kings County,All Children,2017,Percent,S
06039,County,Madera County,All Children,2011,Percent,S
06039,County,Madera County,All Children,2013,Percent,S
06039,County,Madera County,All Children,2015,Percent,S
06039,County,Madera County,All Children,2017,Percent,S
06047,County,Merced County,All Children,2011,Percent,S
06047,County,Merced County,All Children,2013,Percent,S
06047,County,Merced County,All Children,2015,Percent,S
06047,County,Merced County,All Children,2017,Percent,S
06055,County,Napa County,All Children,2011,Percent,S
06055,County,Napa County,All Children,2013,Percent,S
06055,County,Napa County,All Children,2015,Percent,S
06055,County,Napa County,All Children,2017,Percent,3.2
06061,County,Placer County,All Children,2011,Percent,8.6
06061,County,Placer County,All Children,2013,Percent,8.9
06061,County,Placer County,All Children,2015,Percent,9.5
06061,County,Placer County,All Children,2017,Percent,7.4
06067,County,Sacramento County,All Children,2011,Percent,25.2
06067,County,Sacramento County,All Children,2013,Percent,26.2
06067,County,Sacramento County,All Children,2015,Percent,22.7
06067,County,Sacramento County,All Children,2017,Percent,18.1
06077,County,San Joaquin County,All Children,2011,Percent,25.1
06077,County,San Joaquin County,All Children,2013,Percent,26.8
06077,County,San Joaquin County,All Children,2015,Percent,23.9
06077,County,San Joaquin County,All Children,2017,Percent,22.5
06079,County,San Luis Obispo County,All Children,2011,Percent,S
06079,County,San Luis Obispo County,All Children,2013,Percent,14.5
06079,County,San Luis Obispo County,All Children,2015,Percent,S
06079,County,San Luis Obispo County,All Children,2017,Percent,S
06095,County,Solano County,All Children,2011,Percent,19.7
06095,County,Solano County,All Children,2013,Percent,18.8
06095,County,Solano County,All Children,2015,Percent,16.4
06095,County,Solano County,All Children,2017,Percent,15.1
06097,County,Sonoma County,All Children,2017,Percent,10.8
06099,County,Stanislaus County,All Children,2011,Percent,33.2
06099,County,Stanislaus County,All Children,2013,Percent,32.6
06099,County,Stanislaus County,All Children,2015,Percent,27.7
06099,County,Stanislaus County,All Children,2017,Percent,17.8
06101,County,Sutter County,All Children,2011,Percent,S
06101,County,Sutter County,All Children,2013,Percent,S
06101,County,Sutter County,All Children,2015,Percent,S
06101,County,Sutter County,All Children,2017,Percent,S
06107,County,Tulare County,All Children,2011,Percent,34.0
06107,County,Tulare County,All Children,2013,Percent,40.8
06107,County,Tulare County,All Children,2015,Percent,37.0
06107,County,Tulare County,All Children,2017,Percent,33.2
06111,County,Ventura County,All Children,2011,Percent,15.7
06111,County,Ventura County,All Children,2013,Percent,18.3
06111,County,Ventura County,All Children,2015,Percent,13.7
06111,County,Ventura County,All Children,2017,Percent,13.2
06113,County,Yolo County,All Children,2011,Percent,S
06113,County,Yolo County,All Children,2013,Percent,S
06113,County,Yolo County,All Children,2015,Percent,17.5
06113,County,Yolo County,All Children,2017,Percent,S
06025,County,Imperial County,All Children,2011,Percent,S
06025,County,Imperial County,All Children,2013,Percent,S
06025,County,Imperial County,All Children,2015,Percent,S
06025,County,Imperial County,All Children,2017,Percent,S
06037,County,Los Angeles County,All Children,2011,Percent,25.8
06037,County,Los Angeles County,All Children,2013,Percent,27.3
06037,County,Los Angeles County,All Children,2015,Percent,23.3
06037,County,Los Angeles County,All Children,2017,Percent,20.8
06059,County,Orange County,All Children,2011,Percent,17.7
06059,County,Orange County,All Children,2013,Percent,18.8
06059,County,Orange County,All Children,2015,Percent,16.7
06059,County,Orange County,All Children,2017,Percent,15.8
06065,County,Riverside County,All Children,2011,Percent,23.0
06065,County,Riverside County,All Children,2013,Percent,24.3
06065,County,Riverside County,All Children,2015,Percent,22.8
06065,County,Riverside County,All Children,2017,Percent,15.9
06071,County,San Bernardino County,All Children,2011,Percent,26.1
06071,County,San Bernardino County,All Children,2013,Percent,26.6
06071,County,San Bernardino County,All Children,2015,Percent,27.4
06071,County,San Bernardino County,All Children,2017,Percent,23.0
06073,County,San Diego County,All Children,2011,Percent,19.1
06073,County,San Diego County,All Children,2013,Percent,19.4
06073,County,San Diego County,All Children,2015,Percent,17.7
06073,County,San Diego County,All Children,2017,Percent,15.7
06087,County,Santa Cruz County,All Children,2011,Percent,15.5
06087,County,Santa Cruz County,All Children,2013,Percent,S
06087,County,Santa Cruz County,All Children,2015,Percent,S
06087,County,Santa Cruz County,All Children,2017,Percent,S

